time,EstimatedRemainingTimeContext,SimulationLeftNumber,SimulationElapsedTime,MinimumCoresContext,WillFinishTooSoonContext,NotFinishedOnTimeContext,RemainingSimulationTimeMetric
1603268912,3312.0,null,null,null,null,null,null
1603268932,3306.25,null,null,null,null,null,null
1603268962,3306.25,null,null,null,null,null,null
1603268992,3444.0,null,null,null,null,null,null
1603269022,4448.5,null,null,null,null,null,null
1603269052,4440.75,null,null,null,null,null,null
1603269082,5005.0,null,null,null,null,null,null
1603269112,5005.0,null,null,null,null,null,null
1603269142,5424.5,null,null,null,null,null,null
1603269172,5567.25,null,null,null,null,null,null
1603269202,5557.5,null,null,null,null,null,null
1603269232,5832.25,null,null,null,null,null,null
1603269262,5832.25,null,null,null,null,null,null
1603269292,2982.0,null,null,null,null,null,null
1603269322,2982.0,null,null,null,null,null,null
1603269352,3047.625,null,null,null,null,null,null
1603269382,3102.0,null,null,null,null,null,null
1603269412,3102.0,null,null,null,null,null,null
1603269442,4207.5,null,null,null,null,null,null
1603269472,4060.0,null,null,null,null,null,null
1603269502,3906.0,null,null,null,null,null,null
1603269532,3829.375,null,null,null,null,null,null
1603269562,3746.25,null,null,null,null,null,null
1603269592,3726.0,null,null,null,null,null,null
1603269622,3437.5,null,null,null,null,null,null
1603269652,2287.5,null,null,null,null,null,null
1603269682,2233.583333333334,null,null,null,null,null,null
1603269712,2270.833333333334,null,null,null,null,null,null
1603269742,2266.666666666667,null,null,null,null,null,null
1603269772,2295.0,null,null,null,null,null,null
1603269802,2506.0,null,null,null,null,null,null
1603269832,2764.166666666667,null,null,null,null,null,null
1603269862,2517.5,null,null,null,null,null,null
1603269892,2283.666666666667,null,null,null,null,null,null
1603269922,2275.0,null,null,null,null,null,null
1603269952,2218.5,null,null,null,null,null,null
1603269982,2205.75,null,null,null,null,null,null
1603270012,2193.0,null,null,null,null,null,null
1603270042,2223.0,null,null,null,null,null,null
1603270072,2214.333333333334,null,null,null,null,null,null
1603270102,1609.6875,null,null,null,null,null,null
1603270132,1568.75,null,null,null,null,null,null
1603270162,1562.5,null,null,null,null,null,null
1603270192,1546.875,null,null,null,null,null,null
1603270222,1568.25,null,null,null,null,null,null
1603270252,1734.9375,null,null,null,null,null,null
1603270282,2086.75,null,null,null,null,null,null
1603270312,2074.0,null,null,null,null,null,null
1603270342,2048.5,null,null,null,null,null,null
1603270372,1991.666666666667,null,null,null,null,null,null
1603270402,1983.333333333333,null,null,null,null,null,null
1603270432,1970.833333333333,null,null,null,null,null,null
1603270462,1962.5,null,null,null,null,null,null
1603270492,1989.0,null,null,null,null,null,null
1603270522,1980.5,null,null,null,null,null,null
1603270552,1900.0,null,null,null,null,null,null
1603270582,1891.666666666667,null,null,null,null,null,null
1603270612,1883.333333333333,null,null,null,null,null,null
1603270642,1870.833333333333,null,null,null,null,null,null
1603270672,1858.333333333333,null,null,null,null,null,null
1603270702,1850.0,null,null,null,null,null,null
1603270732,1841.666666666667,null,null,null,null,null,null
1603270762,1371.875,null,null,null,null,null,null
1603270792,1023.625,null,null,null,null,null,null
1603270822,1014.125,null,null,null,null,null,null
1603270852,1028.625,null,null,null,null,null,null
1603270882,1021.3125,null,null,null,null,null,null
1603270912,1312.5,null,null,null,null,null,null
1603270942,1698.666666666667,null,null,null,null,null,null
1603270972,1674.166666666667,null,null,null,null,null,null
1603271002,1620.0,null,null,null,null,null,null
1603271032,1612.0,null,null,null,null,null,null
1603271062,1600.0,null,null,null,null,null,null
1603271092,1588.0,null,null,null,null,null,null
1603271122,1580.0,null,null,null,null,null,null
1603271152,1500.083333333333,null,null,null,null,null,null
1603271182,1492.25,null,null,null,null,null,null
1603271212,1480.5,null,null,null,null,null,null
1603271242,1500.0,null,null,null,null,null,null
1603271272,1492.0,null,null,null,null,null,null
1603271302,1113.0,null,null,null,null,null,null
1603271332,1029.25,null,null,null,null,null,null
1603271362,1020.625,null,null,null,null,null,null
1603271392,1009.125,null,null,null,null,null,null
1603271422,1152.75,null,null,null,null,null,null
1603271452,1082.25,null,null,null,null,null,null
1603271482,1048.6875,null,null,null,null,null,null
1603271512,1035.9375,null,null,null,null,null,null
1603271542,1029.5625,null,null,null,null,null,null
1603271572,844.25,null,null,null,null,null,null
1603271602,836.0,null,null,null,null,null,null
1603271632,825.0,null,null,null,null,null,null
1603271662,730.3125,null,null,null,null,null,null
1603271692,585.9,null,null,null,null,null,null
1603271722,581.7,null,null,null,null,null,null
1603271752,530.95,null,null,null,null,null,null
1603271782,520.7,null,null,null,null,null,null
1603271812,458.25,null,null,null,null,null,null
1603271842,526.7,null,null,null,null,null,null
1603271872,472.5,null,null,null,null,null,null
1603271902,516.75,null,null,null,null,null,null
1603271932,509.4375,null,null,null,null,null,null
1603271962,499.6875,null,null,null,null,null,null
1603271992,441.75,null,null,null,null,null,null
1603272022,429.875,null,null,null,null,null,null
1603272052,370.0,null,null,null,null,null,null
1603272082,310.5,null,null,null,null,null,null
1603272112,301.5,null,null,null,null,null,null
1603272142,252.0,null,null,null,null,null,null
1603272172,192.5,null,null,null,null,null,null
1603272202,118.1875,null,null,null,null,null,null
1603272232,21.0,null,null,null,null,null,null
1603272262,12.25,null,null,null,null,null,null
1603272292,210.0,null,null,null,null,null,null
1603272322,210.0,null,null,null,null,null,null
1603272352,183.6666666666667,null,null,null,null,null,null
1603272382,174.0,null,null,null,null,null,null
1603272412,166.75,null,null,null,null,null,null
