,0
0,-0.66999006
1,-0.90168476
2,-0.9360609
3,-0.8398075
4,-0.7978692
5,-0.92299795
6,-0.80680656
7,-0.80405664
8,-0.77930593
9,-0.88105917
10,-0.7731185
11,-0.91681004
12,-0.8858719
13,-0.7985568
14,-0.8618088
15,-0.9339981
16,-0.8439326
17,-0.8184943
18,-0.7868686
19,-0.85630846
20,-0.8556204
21,-0.87212133
22,-0.92162323
23,-0.8150568
24,-0.82261944
25,-0.7978692
26,-0.8006191
27,-0.75799274
28,-0.7930565
29,-0.9058099
30,-0.8391204
31,-0.88105917
32,-0.88105917
33,-0.8343077
34,-0.866621
35,-0.7483673
36,-0.8927469
37,-0.80543137
38,-0.82399464
39,-0.7916813
40,-0.82605743
41,-0.87280893
42,-0.83499527
43,-0.9140601
44,-0.7738056
45,-0.91818523
46,-0.7641802
47,-0.77999353
48,-0.90443516
49,-0.89755964
50,-0.80474424
51,-0.82880783
52,-0.8693714
53,-0.9071851
54,-0.92574835
55,-0.73874235
56,-0.8322449
57,-0.88312197
58,-0.76280546
59,-0.85493326
60,-0.36404324
61,-0.38466835
62,-0.18253708
63,-0.5132351
64,-0.265728
65,-0.31385422
66,-0.36748028
67,-0.2863531
68,-0.4087324
69,-0.4183569
70,-0.3276043
71,-0.39979362
72,-0.33310413
73,-0.5434866
74,-0.4740467
75,-0.2567892
76,-0.3310423
77,-0.23753834
78,-0.34066772
79,-0.17634964
80,-0.34685516
81,-0.41354465
82,-0.48848438
83,-0.15503693
84,-0.38673115
85,-0.24166393
86,-0.3791685
87,-0.54623604
88,-0.43692017
89,-0.23685169
90,-0.045033455
91,-0.40391922
92,-0.18528748
93,-0.06703377
94,-0.46098328
95,0.011343956
96,-0.31385422
97,-0.22860146
98,0.04984474
99,-0.17566204
100,-0.34204197
101,-0.14609909
102,-0.14953709
103,-0.0766592
104,-0.3826065
105,0.035407066
106,-0.48367214
107,-0.21278858
108,-0.28085327
109,-0.18391323
110,-0.1708498
111,-0.31729126
112,-0.16397381
113,-0.25060177
114,-0.064284325
115,-0.37504387
116,-0.09591007
117,-0.28222847
118,-0.15091133
119,-0.30422878
120,-0.27672863
121,-0.5675497
122,-0.19834995
123,0.0017175674
124,-0.38673115
125,-0.2299757
126,-0.08972168
127,-0.49879742
128,-0.117910385
129,-0.30835438
130,-0.18253708
131,-0.392231
132,-0.17634964
133,-0.30354118
134,-0.34685516
135,-0.37160587
136,-0.20178795
137,-0.40666962
138,-0.37229347
139,-0.4149189
140,-0.27054024
141,-0.31522846
142,-0.093159676
143,-0.093847275
144,-0.445858
145,-0.36610603
146,-0.13166046
147,-0.22653961
148,-0.057408333
149,-0.24372673
150,-0.31316662
151,-0.21072578
152,-0.30079174
153,-0.12066078
154,-0.39841938
155,-0.32416725
156,-0.66586494
157,-0.31385422
158,-0.6775527
159,-0.49673462
160,-0.41148186
161,-0.4224825
162,-0.30629063
163,-0.16053581
164,-0.11103535
165,-0.10897255
166,-0.24785233
167,-0.47885895
168,-0.18872547
169,-0.48229694
170,-0.5228605
171,-0.50360966
172,-0.8109317
173,-0.33310413
174,-0.1426611
175,-0.28016472
176,-0.48779678
177,-0.726367
178,-0.7394295
179,-0.3227911
180,-0.5249233
181,-0.6108637
182,-0.2334137
183,-0.46717167
184,-0.14953709
185,-0.5923004
186,-0.7490549
187,-0.582675
188,-0.7999315
189,-0.41010666
190,-0.36541748
191,-0.7490549
192,-0.56617355
193,-0.44379616
194,-0.2842903
195,-0.17566204
196,-0.5111723
197,-0.48985958
198,-0.6067381
199,-0.6844282
200,-0.39704418
201,-0.7930565
202,0.090408325
203,-0.48023415
204,-0.41285706
205,-0.48779678
206,-0.43073273
207,-0.36129284
208,-0.30010414
209,-0.7078037
210,-0.2650404
211,-0.05328369
212,-0.6136141
213,-0.82743263
214,-0.63561344
215,-0.3784809
216,-0.038864136
217,-0.5641117
218,-0.2842903
219,-0.5221729
220,-0.29804134
221,0.07872009
222,-0.8652458
223,-0.6074257
224,-0.87074614
225,-0.21966362
226,-0.32691765
227,-0.5627365
228,-0.34479237
229,-0.56617355
230,-0.5139227
231,-0.4224825
232,-0.5214853
233,-0.40942
234,-0.75936794
235,0.05809498
236,-0.6335516
237,-0.5537987
238,-0.53248596
239,-0.49329758
240,-0.73736715
241,-0.8157449
242,-0.85355806
243,-0.816432
244,-0.87280893
245,-0.80130625
246,-0.78893137
247,-0.83568287
248,-0.9161229
249,-0.82468224
250,-0.7937436
251,-0.8631835
252,-0.8123069
253,-0.83499527
254,-0.7786188
255,-0.8233075
256,-0.866621
257,-0.8425579
258,-0.8487458
259,-0.85493326
260,-0.8583708
261,-0.8487458
262,-0.9058099
263,-0.766243
264,-0.7559304
265,-0.766243
266,-0.9092474
267,-0.85287094
268,-0.9305606
269,-0.8906846
270,-0.7738056
271,-0.8927469
272,-0.8686838
273,-0.8844967
274,-0.83293295
275,-0.8556204
276,-0.8611207
277,-0.8370576
278,-0.8336201
279,-0.8446207
280,-0.8686838
281,-0.7731185
282,-0.73736715
283,-0.87762165
284,-0.7909937
285,-0.8143697
286,-0.8150568
287,-0.85630846
288,-0.7071166
289,-0.879684
290,-0.8233075
291,-0.8686838
292,-0.83637
293,-0.90237236
294,-0.8893094
295,-0.889997
296,-0.8879342
297,-0.7916813
298,-0.7689934
299,-0.8693714
300,-0.5819864
301,-0.3255415
302,-0.31797886
303,-0.43554592
304,-0.45617104
305,-0.4506712
306,-0.33447933
307,-0.22241306
308,-0.43967056
309,-0.36266804
310,-0.29460335
311,-0.5207987
312,-0.36129284
313,-0.49260902
314,-0.36404324
315,-0.42316914
316,-0.37023067
317,-0.28154087
318,-0.33310413
319,-0.21622562
320,-0.35098076
321,-0.39773178
322,-0.3819189
323,-0.33654213
324,-0.4245453
325,0.84943295
326,-0.33035374
327,-0.3014784
328,-0.28772736
329,-0.45342064
330,-0.43348217
331,-0.31522846
332,-0.29529095
333,-0.34341717
334,-0.049845695
335,-0.5421114
336,-0.31247902
